Data,arginine biosynthesisI,arginine biosynthesisII-acetyl cycle,arginine biosynthesisIII,arginine biosynthesisIV,flavin biosynthesisI ,flavin biosynthesisIII ,isoleucine biosynthesisI,isoleucine biosynthesisI-from threonine,isoleucine biosynthesisII,isoleucine biosynthesisIII,isoleucine biosynthesisIV,isoleucine biosynthesisV,lysine biosynthesisI,lysine biosynthesis II,lysine biosynthesis VI,SP arginine polyamine biosynthesis,"SP leucine,valine,and isoleucine biosynthesis","SP lysine,threonine and methionine biosynthesisI","SP lysine, threonine and methionine biosynthesisII","SP phenylalanine,tyrosine,and tryptophan biosynthesis",SP of threonine metabolism,threonine biosynthesis,threonine biosynthesis from homoserine,tryptophan biosynthesis
maxbin.030,0,0,0,0.6,0.75,0.75,0.545,0,0,0,0,1,0,0.75,0.571,0,0,0.611,0.714,0,0,0.833,1,0
metabat2.6,0,0,0,0,1,0.75,0,0,0,0,0,0,0.556,0.5,0,0,0,0,0,0,0,0.5,0.5,0
maxbin.007,0.556,0.667,0,0,0.25,0,0.727,1,0.833,0.8,0.667,1,0.667,0.5,0,0,1,0.556,0.5,0.882,0,0.5,0.5,1
metabat2.22,0.889,1,0.778,0.8,1,0.75,1,1,0.833,0.8,0.667,1,0.667,0.75,0.571,0.8,1,0.778,0.643,0.882,0,1,1,1
maxbin.024,0.889,1,0.778,0.6,0.75,0.75,0.727,0.6,0.667,0.6,0.5,1,0.667,0.75,0.571,0.533,0.75,0.722,0.714,0,0,0.833,1,0
maxbin.013,0.667,0.778,0.556,0,0.75,0.5,0.636,1,0.833,0.8,0.667,1,0.556,0.375,0,0,1,0.556,0,0.882,0,0,0.5,1
maxbin.018,1,1,0.889,0.6,1,0.75,0.909,1,0.833,0.8,0.833,1,0.778,0.5,0.571,0.667,1,0.667,0.643,0.706,0,0.833,1,0.6
maxbin.012,0,0,0,0.6,0.25,0,0.818,1,0.833,0.8,0.667,1,0.556,0,0,0,1,0.5,0,0.529,0,0.667,1,0.8
maxbin.001,0,0,0,0.8,1,0.75,0,0,0,0,0,1,0.556,0.5,0,0.533,0,0,0,0.529,0,0.5,0,0.6
metabat2.7,0,0,0,0,0.25,0,0,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0.385,0,0,0
maxbin.020,0.889,1,0.778,0.6,1,0.75,0.636,0,0,0,0,1,0.556,0.5,0,0.533,0,0.667,0.571,0.765,0,0.833,1,1